"Bucket","File","Status","Copyrights","License","Notes"
"drivers","src/drivers/common/nes_shm.h","New","","Unknown/None",""
"drivers","src/drivers/null/null_driver.cpp","New","","GPLv2+",""
"drivers","src/drivers/null/null_driver.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/AviAudioCodec.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/AviAudioCodec.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/AviOptionsDialog.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
"drivers","src/drivers/Qt/AviOptionsDialog.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/AviRecordContext.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/AviRecordDiskThread.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/AviVideoCodec.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/AviVideoCodec.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConfigStore.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleActions.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
"drivers","src/drivers/Qt/ConsoleActions.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleCursor.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleDebugWindows.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
"drivers","src/drivers/Qt/ConsoleDebugWindows.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleEmuControl.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
"drivers","src/drivers/Qt/ConsoleEmuControl.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleEmulatorThread.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleFile.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
"drivers","src/drivers/Qt/ConsoleFile.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleHotKeys.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleMenu.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
"drivers","src/drivers/Qt/ConsoleMenu.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleMenuBar.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleRecentRom.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
"drivers","src/drivers/Qt/ConsoleRecentRom.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleRecording.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
